phrases,tagged_phrases
crack,crack nn
cracked,cracked vbn
cracks,cracks nns
craig,craig nn
crane,crane nn
created,created vbn
crescent,crescent nn
crew,crew nn
crews,crews nns
critical,critical jj
cubical,cubical jj
cubicle,cubicle nn
current,current jj
currently available,currently rb available jj
currently in lt isolation,currently rb in in_pos lt jj isolation nn
currently on warm stack,currently rb on in_pos warm jj stack nn
currents,currents nns
currnt,currnt nn
customer,customer nn
cut,cut nn
cuts,cuts nns
cycle,cycle nn
cyprina,cyprina nn
c°,c° nn
d,d nn
damage,damage nn
damagechecks,damagechecks nns
damaged,damaged vbn
damagefound,damagefound nn
damages,damages nns
dampeners,dampeners nns
damper,damper nn
damperner,damperner nn
dampers,dampers nns
dampner,dampner nn
dampners,dampners nns
data,data nns
date,date nn
dates,dates nns
david,david nn
day,day nn
days,days nns
dc,dc nn
dci,dci nn
de,de nns
de assigned,de nns assigned vbd
de c,de in_pos c nns
de isolated,de rb isolated vbn
de of motor,de in_pos of in_pos motor nn
de vibration,de in_pos vibration nn
dear,dear nn
debris,debris nn
debris found,debris nn found vbd
debrisok,debrisok nn
december,december nn
decided,decided vbd
deck,deck nn
dedicated,dedicated vbn
deemed,deemed vbn
deepwater,deepwater nn
deformities,deformities nns
deg,deg nn
degraded,degraded vbn
degrading,degrading vbg
degree,degree nn
degrees,degrees nns
degreesthe,degreesthe nn
degreesthis,degreesthis nn
deisolate,deisolate nn
deisolated,deisolated vbn
demister,demister nn
department,department nn
dept,dept nn
derric,derric nn
desc,desc nn
desiccant,desiccant nn
designed,designed vbn
dessembiled,dessembiled vbn
details,details nns
detected,detected vbn
deteriorating,deteriorating vbg
deterioration,deterioration nn
device,device nn
devices,devices nns
did,did vbd
didnt,didnt nn
diederik,diederik nn
diff,diff nn
differences,differences nns
different,different jj
digital,digital nn
directed,directed vbn
direction,direction nn
dirt,dirt nn
dirt debris,dirt nn debris nn
dirts,dirts nns
disappeared,disappeared vbd
disassemble,disassemble jj
disassembled,disassembled vbn
discharge,discharge nn
discoloration,discoloration nn
disconection,disconection nn
disconnect,disconnect nn
disconnected,disconnected vbn
disconnecting,disconnecting vbg
disconnection,disconnection nn
discrepancies,discrepancies nns
discrepency,discrepency nn
discussed,discussed vbn
disjointed,disjointed vbn
dismanteling,dismanteling vbg
dismantled,dismantled vbn
dismantling,dismantling vbg
displacements,displacements nns
dissassembly,dissassembly rb
do feed,do vbp feed vb
dobe,dobe nn
doc,doc nn
document,document nn
documentation,documentation nn
documented,documented vbn
documents,documents nns
doesnt,doesnt nn
dol,dol nn
done,done vbn
dont,dont nn
dont found,dont nn found vbd
dont,dont nn
dont found,dont nn found vbd
door,door nn
double,double rb
down next,down rb next jj
downloaded,downloaded vbn
drain,drain nn
draw,draw nn
drawer,drawer nn
drawing,drawing vbg
drawings,drawings nns
drawworks,drawworks nns
dressed,dressed vbn
drill,drill nn
drilled,drilled vbn
driller,driller nn
drillers,drillers nns
drilling,drilling nn
drive,drive nn
drivers,drivers nns
drives,drives nns
dry,dry nn
dryer,dryer nn
drying,drying vbg
dubris,dubris nn
duckting,duckting vbg
duct,duct nn
ducting,ducting vbg
ductings,ductings nns
duction,duction nn
ducts,ducts nns
ductwork,ductwork nn
due,due jj
durinf,durinf nn
during annual survey,during in_pos annual jj survey nn
during eow maint,during in_pos eow jj maint nn
during inspection,during in_pos inspection nn
during intrusive inspection,during in_pos intrusive jj inspection nn
during mcc,during in_pos mcc nn
during normal inspection,during in_pos normal jj inspection nn
during normal operation,during in_pos normal jj operation nn
during operation,during in_pos operation nn
during pms,during in_pos pms nn
during recent run,during in_pos recent jj run nn
during run,during in_pos run nn
dust,dust nn
e,e nn
ea new,ea rb new jj
each bearing,each dt bearing nn
each bearings,each dt bearings nns
each blower,each dt blower nn
each condition,each dt condition nn
each failed,each dt failed vbd
each heater,each dt heater nn
each job,each dt job nn
each motor,each dt motor nn
each other,each dt other jj
each phase,each dt phase nn
each pump,each dt pump nn
each shot,each dt shot nn
each side,each dt side nn
earth,earth nn
earthing,earthing vbg
earths,earths nns
eath,eath nn
edocs,edocs nn
eex,eex nn
efficiency,efficiency nn
effort,effort nn
egress,egress nn
eh,eh nn
eic,eic nn
eiso,eiso nn
either motor,either dt motor nn
elected,elected vbn
electricain,electricain nn
electrical,electrical jj
electrician,electrician jj
electricians,electricians nns
electrocleaner,electrocleaner nn
electronic,electronic jj
element,element nn
elements,elements nns
eltech,eltech nn
email,email nn
emergency,emergency nn
enclosure,enclosure nn
enclosures,enclosures nns
encoder,encoder nn
encoders,encoders nns
end,end nn
ended,ended vbn
ending,ending vbg
ends,ends nns
energy,energy nn
engineer,engineer nn
engineering,engineering nn
engineers,engineers nns
enlarged,enlarged vbn
enlarging,enlarging vbg
ensured,ensured vbn
entered,entered vbn
entry,entry nn
eow,eow nn
equal,equal jj
equip,equip nn
equiped,equiped vbd
equipment,equipment nn
equipped,equipped vbn
eremoved,eremoved vbn
estop,estop nn
estops,estops nns
estops working,estops nns working vbg
etc,etc nn
evaluated,evaluated vbn
evening,evening vbg
event,event nn
every days,every dt days nns
every hour,every dt hour nn
every hrs,every dt hrs nn
every new,every dt new jj
every year,every dt year nn
everything,everything nn
evidenced,evidenced vbn
evident,evident nn
examied,examied vbn
examine,examine nn
examined,examined vbn
except hex pump,except in_pos hex jj pump nn
except mud charge,except in_pos mud jj charge nn
except number,except in_pos number nn
except task,except in_pos task nn
excess,excess nn
excessive,excessive jj
exchanger,exchanger nn
exchangers,exchangers nns
exhaust,exhaust nn
existing,existing vbg
exists commisioning,exists nns commisioning vbg
expected,expected vbn
experation,experation nn
expl,expl nn
exterior,exterior nn
exterior cover,exterior rb cover nn
external,external jj
extract,extract nn
extracted,extracted vbn
extreme,extreme nn
extremely low,extremely rb low jj
eye,eye nn
eyebolt,eyebolt nn
eyes,eyes nns
f,f nn
fabricated,fabricated vbn
factory,factory nn
fail,fail nn
failed,failed vbd
failue,failue nn
failure,failure nn
failuresno,failuresno nn
fall,fall nn
fan,fan nn
fans,fans nns
farsternes,farsternes nns
fast,fast nn
fasteners,fasteners nns
fastenersd,fastenersd nn
fastening,fastening vbg
fastners,fastners nns
fault,fault nn
faulting,faulting vbg
features,features nns
feb,feb nn
feed,feed nn
feedback,feedback nn
feeder,feeder nn
feel,feel nn
feet,feet nns
felt,felt nn
few,few jj
fiber,fiber nn
field,field nn
figured,figured vbn
file,file nn
filling,filling vbg
filter,filter nn
filter screen,filter nn screen nn
filters,filters nns
find,find vb
find fwd,find vb fwd nn
findings,findings nns
fine,fine nn
fins,fins nns
fins for fwd,fins nns for in_pos fwd nn
fins found,fins nns found vbd
fire,fire nn
fit,fit nn
fitted,fitted vbn
fitting,fitting nn
fixed,fixed vbn
flange,flange nn
flanges,flanges nns
flexing,flexing vbg
floor,floor nn
flow,flow nn
fluid,fluid nn
fluke,fluke nn
foin,foin nn
followed,followed vbd
following,following vbg
follows closed,follows vbz closed vbd
foot,foot nn
footing,footing nn
for abnormal bearing,for in_pos abnormal jj bearing nn
for abnormal condition,for in_pos abnormal jj condition nn
for abnormal heat,for in_pos abnormal jj heat nn
for abnormal noise,for in_pos abnormal jj noise nn
for abnormal vibration,for in_pos abnormal jj vibration nn
for abnormal vibrationsno,for in_pos abnormal jj vibrationsno nn
for access,for in_pos access nn
for adjuster,for in_pos adjuster nn
for advice,for in_pos advice nn
for air,for in_pos air nn
for analysis,for in_pos analysis nn
for approval,for in_pos approval nn
for b,for in_pos b nn
for base,for in_pos base nn
for below task,for in_pos below in_pos task nn
for blower,for in_pos blower nn
for choke,for in_pos choke nn
for cleanliness,for in_pos cleanliness nn
for conditionsand,for in_pos conditionsand nn
for confirmation,for in_pos confirmation nn
for correct rotation,for in_pos correct jj rotation nn
for corrosion,for in_pos corrosion nn
for couple,for in_pos couple nn
for crane,for in_pos crane nn
for damage,for in_pos damage nn
for damagelubrication,for in_pos damagelubrication nn
for debris water,for in_pos debris jj water nn
for defect,for in_pos defect nn
for dirt,for in_pos dirt nn
for disconnected rtd,for in_pos disconnected vbn rtd nn
for drill,for in_pos drill nn
for drive motor,for in_pos drive nn motor nn
for ex,for in_pos ex nn
for ex area,for in_pos ex jj area nn
for ex e,for in_pos ex nn e nn
for excessive noise,for in_pos excessive jj noise nn
for excessive temperature,for in_pos excessive jj temperature nn
for explosion,for in_pos explosion nn
for function,for in_pos function nn
for further investigation,for in_pos further jj investigation nn
for future immediate,for in_pos future jj immediate nn
for future mud,for in_pos future jj mud nn
for future referance,for in_pos future jj referance nn
for future reference,for in_pos future jj reference nn
for galling,for in_pos galling vbg
for good tightness,for in_pos good jj tightness nn
for ground,for in_pos ground nn
for hand,for in_pos hand nn
for hazardous area,for in_pos hazardous jj area nn
for high motor,for in_pos high jj motor nn
for hot spot,for in_pos hot jj spot nn
for hour,for in_pos hour nn
for hrs,for in_pos hrs nn
for impeller,for in_pos impeller nn
for in wc,for in_pos in in_pos wc nn
for information,for in_pos information nn
for inspection,for in_pos inspection nn
for insulation,for in_pos insulation nn
for integrity,for in_pos integrity nn
for ir pic,for in_pos ir nn pic nn
for j,for in_pos j nn
for job,for in_pos job nn
for leaks damage,for in_pos leaks nns damage nn
for location start,for in_pos location nn start nn
for long life,for in_pos long jj life nn
for lubricate,for in_pos lubricate nn
for lubrication,for in_pos lubrication nn
for main motor,for in_pos main jj motor nn
for make,for in_pos make nn
for manual cranking,for in_pos manual jj cranking nn
for mech,for in_pos mech nn
for mechanical damage,for in_pos mechanical jj damage nn
for minute,for in_pos minute nn
for motor,for in_pos motor nn
for mp,for in_pos mp nn
for mpa,for in_pos mpa nn
for mpb,for in_pos mpb nn
for mud,for in_pos mud nn
for nov rebuild,for in_pos nov jj rebuild nn
for nov system,for in_pos nov jj system nn
for number,for in_pos number nn
for order,for in_pos order nn
for overhaul,for in_pos overhaul nn
for pm,for in_pos pm nn
for proper rotation,for in_pos proper jj rotation nn
for proper security,for in_pos proper jj security nn
for pump,for in_pos pump nn
for purpose,for in_pos purpose nn
for rebuild,for in_pos rebuild nn
for removal,for in_pos removal nn
for repair,for in_pos repair nn
for repleshiment,for in_pos repleshiment nn
for restore,for in_pos restore nn
for rewind,for in_pos rewind nn
for rotation,for in_pos rotation nn
for rr,for in_pos rr nn
for rust,for in_pos rust nn
for safe area,for in_pos safe jj area nn
for sec,for in_pos sec nn
for skid plate,for in_pos skid nn plate nn
for spare motor,for in_pos spare jj motor nn
for step,for in_pos step nn
for temperature,for in_pos temperature nn
for test,for in_pos test nn
for tightness,for in_pos tightness nn
for timeline,for in_pos timeline nn
for torque,for in_pos torque nn
for unusual noise,for in_pos unusual jj noise nn
for use,for in_pos use nn
for vibration,for in_pos vibration nn
for visual inspection,for in_pos visual jj inspection nn
for water,for in_pos water nn
form,form nn
format,format nn
forty,forty nn
forward,forward rb
forwarded,forwarded vbn
found,found nn
found nothing,found vbn nothing nn
foundation,foundation nn
foundations,foundations nns
fourchon,fourchon nn
frame,frame nn
free,free jj
freight,freight nn
frequency,frequency nn
from abb,from in_pos abb nn
from b,from in_pos b nn
from busbar,from in_pos busbar nn
from corrosion,from in_pos corrosion nn
from corrosion step,from in_pos corrosion nn step nn
from corrositon,from in_pos corrositon nn
from crane,from in_pos crane nn
from damage,from in_pos damage nn
from deck,from in_pos deck nn
from dirt,from in_pos dirt nn
from driller,from in_pos driller nn
from drive,from in_pos drive nn
from drive cabinet,from in_pos drive jj cabinet nn
from dust,from in_pos dust nn
from floor,from in_pos floor nn
from grand isle,from in_pos grand jj isle nn
from local control,from in_pos local jj control nn
from main motor,from in_pos main jj motor nn
from mcc,from in_pos mcc nn
from medium,from in_pos medium nn
from megger,from in_pos megger nn
from motor,from in_pos motor nn
from mud,from in_pos mud nn
from mud pump,from in_pos mud cd pump nn
from normal test,from in_pos normal jj test nn
from novindia houston,from in_pos novindia jj houston nn
from oer mud,from in_pos oer cd mud nn
from oes vibration,from in_pos oes nns vibration nn
from old motor,from in_pos old jj motor nn
from outside mp,from in_pos outside jj mp nn
from overhaul,from in_pos overhaul nn
from repair,from in_pos repair nn
from rig,from in_pos rig nn
from rust dirt,from in_pos rust nn dirt nn
from shipyard,from in_pos shipyard nn
from spm,from in_pos spm nn
from start,from in_pos start nn
from third party,from in_pos third jj party nn
from thruster,from in_pos thruster nn
from traume,from in_pos traume nn
from vfd,from in_pos vfd nn
full,full jj
function,function nn
functionality,functionality nn
functioned,functioned vbn
functioning,functioning vbg
fundation,fundation nn
further,further rb
fuse,fuse nn
fw,fw nn
fwd,fwd nn
fyi,fyi nn
g,g nn
galling,galling vbg
gambhir,gambhir nn
gap,gap nn
gasket,gasket nn
gaskets,gaskets nns
gauge,gauge nn
gauges,gauges nns
gave,gave vbd
gear,gear nn
gears,gears nns
geb,geb nn
general,general jj
generating,generating vbg
generator,generator nn
generators,generators nns
geoservices,geoservices nns
getting,getting vbg
giga,giga nn
gilmar,gilmar nn
given,given vbn
giving,giving vbg
glades,glades nns
gland,gland nn
glandes,glandes nns
glanding,glanding vbg
glands,glands nns
glands secure,glands nns secure nn
glen,glen nn
glnads,glnads nns
glycol,glycol nn
god,god nn
gohm,gohm nn
gohms,gohms nn
going,going vbg
gone,gone vbn
good,good jj
got,got vbd
grease,grease nn
greased,greased vbn
greasing,greasing vbg
grinder,grinder nn
grommets,grommets nns
ground,ground nn
grounded,grounded vbn
grounding,grounding vbg
grounds,grounds nns
guages,guages nns
guard,guard nn
guards,guards nns
guidance,guidance nn
guidelines,guidelines nns
gun,gun nn
h,h nn
had,had vbd
haeter,haeter nn
hand,hand nn
handbook,handbook nn
handed,handed vbn
handoperated,handoperated vbn
hansuai,hansuai nn
happened,happened vbd
hardware,hardware nn
hardware secured,hardware nn secured vbn
hardwares,hardwares nns
has beeen,has vbz beeen nn
has been,has vbz been vbn
has failed,has vbz failed vbn
has found,has vbz found vbn
has gone,has vbz gone vbn
has had,has vbz had vbn
has high,has vbz high jj
has highlighted,has vbz highlighted vbn
has hrs,has vbz hrs nn
has interchangeable,has vbz interchangeable jj
has lifting,has vbz lifting nn
has little,has vbz little jj
has minimal,has vbz minimal nn
has multiple,has vbz multiple nn
has normal,has vbz normal jj
has padeyes,has vbz padeyes nns
has performed,has vbz performed vbn
has poor,has vbz poor jj
has reported,has vbz reported vbn
has sealed,has vbz sealed vbn
has selaed,has vbz selaed nn
has tested,has vbz tested vbn
has updated,has vbz updated vbn
hatch,hatch nn
have added,have vb added vbn
have attached,have vb attached vbn
have been,have vbp been vbn
have blower,have vb blower nn
have checked,have vb checked vbn
have come,have vbp come vbn
have commissioned,have vbp commissioned vbn
have disconnected,have vbp disconnected vbn
have discussed,have vbp discussed vbn
have done,have vb done vbn
have grease,have vb grease nn
have identified,have vb identified vbn
have left,have vb left vbn
have lowered,have vb lowered vbn
have marked,have vb marked vbn
have motor,have vbp motor nn
have moved,have vbp moved vbn
have nitrogen,have vb nitrogen nn
have provided,have vb provided vbn
have ran,have vb ran nn
have removed,have vbp removed vbn
have sealed,have vb sealed vbn
have shipped,have vb shipped vbn
have tried,have vb tried vbn
have verified,have vb verified vbn
havent,havent nn
having,having vbg
haz,haz nn
haza,haza nn
hazardous,hazardous jj
hd,hd nn
head,head nn
header,header nn
heads,heads nns
heard,heard nn
heat,heat nn
heater,heater nn
heater fitted,heater nn fitted vbd
heaters,heaters nns
heating,heating nn
hel,hel nn
here idepartmentselectricalnovmud,here rb idepartmentselectricalnovmud nn
hex,hex nn
hidden,hidden nn
high,high jj
highlighted,highlighted vbn
history,history nn
hits winding,hits nns winding vbg
hmi,hmi nn
hole,hole nn
holes,holes nns
hong,hong nn
hooked,hooked nns
hooks,hooks nns
hopper,hopper nn
horsepower,horsepower nn
hose,hose nn
hoseperformd,hoseperformd nn
hoses,hoses nns
hot,hot jj
hotspots,hotspots nns
hour,hour nn
hours,hours nns
housekeeping,housekeeping vbg
housing,housing nn
housings,housings nns
hp,hp nn
hqsopstibdwks,hqsopstibdwks nn
hqsopstibmtr,hqsopstibmtr nn
hs,hs nn
hse,hse nn
hub,hub nn
hydraulic,hydraulic nn
i,i nn
i attached,i nn attached vbd
i ready,i nns ready vbp
ibop,ibop nn
icn,icn nn
ics,ics nns
id,id nn
identical,identical jj
identification,identification nn
identified,identified vbn
idle,idle jj
ids,ids nns
ie,ie nn
if accessible motor,if in_pos accessible jj motor nn
if drilling,if in_pos drilling nn
if rig,if in_pos rig nn
if time,if in_pos time nn
if visual examination,if in_pos visual jj examination nn
imaging,imaging vbg
impact,impact nn
impeller,impeller nn
impellers,impellers nns
impellor,impellor nn
impellor requested,impellor nn requested vbd
impellors,impellors nns
impller,impller nn
important,important jj
imppler,imppler nn
improvements,improvements nns
in abnoraml,in in_pos abnoraml nn
in abnormal task,in in_pos abnormal jj task nn
in acceptable condition,in in_pos acceptable jj condition nn
in acceptable conditiuon,in in_pos acceptable jj conditiuon nn
in acceptable conditon,in in_pos acceptable jj conditon nn
in accetable condition,in in_pos accetable jj condition nn
in accordance,in in_pos accordance nn
in aceeptable condition,in in_pos aceeptable jj condition nn
in adequate condition,in in_pos adequate jj condition nn
in advance,in in_pos advance nn
in agreement,in in_pos agreement nn
in air,in in_pos air nn
in attachment,in in_pos attachment nn
in ballast pump,in in_pos ballast nn pump nn
in by weston,in in_pos by in_pos weston nn
in c m,in in_pos c nns m nns
in c ms,in in_pos c nns ms nns
in center,in in_pos center nn
in check,in in_pos check nn
in circuit,in in_pos circuit nn
in comparison,in in_pos comparison nn
in condition,in in_pos condition nn
in conjunction,in in_pos conjunction nn
in coordination,in in_pos coordination nn
in correct place,in in_pos correct jj place nn
in cover,in in_pos cover nn
in cyberbase,in in_pos cyberbase nn
in cyprinia,in in_pos cyprinia nn
in date,in in_pos date nn
in dci,in in_pos dci nn
in deg c,in in_pos deg nn c nn
in drive,in in_pos drive nn
in drive motor,in in_pos drive jj motor nn
in early march,in in_pos early jj march nn
in end,in in_pos end nn
in error,in in_pos error nn
in fan,in in_pos fan nn
in feb,in in_pos feb nn
in for analysis,in in_pos for in_pos analysis nn
in for repair,in in_pos for in_pos repair nn
in gathering,in in_pos gathering nn
in gland,in in_pos gland nn
in gom,in in_pos gom nn
in good condiiton,in in_pos good jj condiiton nn
in good conditio,in in_pos good jj conditio nn
in good condition,in in_pos good jj condition nn
in good conditionno,in in_pos good jj conditionno nn
in good conditionunit,in in_pos good jj conditionunit nn
in good conditon,in in_pos good jj conditon nn
in good contion,in in_pos good jj contion nn
in good operating,in in_pos good jj operating nn
in good order,in in_pos good jj order nn
in good running,in in_pos good jj running nn
in good shape,in in_pos good jj shape nn
in good shapeno,in in_pos good jj shapeno nn
in good workinbg,in in_pos good jj workinbg nn
in good working,in in_pos good jj working nn
in hazardous area,in in_pos hazardous jj area nn
in housing,in in_pos housing nn
in houston,in in_pos houston nn
in ielectrical dept,in in_pos ielectrical jj dept nn
in inspection,in in_pos inspection nn
in janurary,in in_pos janurary jj
in jb,in in_pos jb nn
in jbs,in in_pos jbs nn
in job,in in_pos job nn
in junction,in in_pos junction nn
in light,in in_pos light nn
in local control,in in_pos local jj control nn
in loose condition,in in_pos loose jj condition nn
in maintenance,in in_pos maintenance nn
in march,in in_pos march nn
in mind,in in_pos mind nn
in motor,in in_pos motor nn
in mp,in in_pos mp nn
in mpa motor,in in_pos mpa nn motor nn
in mudpump,in in_pos mudpump nn
in need,in in_pos need nn
in none,in in_pos none nn
in normal operating,in in_pos normal jj operating nn
in normal operation,in in_pos normal jj operation nn
in operation,in in_pos operation nn
in order,in in_pos order nn
in part,in in_pos part nn
in perfect shape,in in_pos perfect jj shape nn
in place,in in_pos place nn
in poor condition,in in_pos poor jj condition nn
in previous trouble,in in_pos previous jj trouble nn
in pump,in in_pos pump nn
in question,in in_pos question nn
in remote mode,in in_pos remote jj mode nn
in report,in in_pos report nn
in safe area,in in_pos safe jj area nn
in safe zone,in in_pos safe jj zone nn
in satisfactory condition,in in_pos satisfactory jj condition nn
in september,in in_pos september nn
in service,in in_pos service nn
in servicejob,in in_pos servicejob nn
in situ see,in in_pos situ nn see nn
in system,in in_pos system nn
in tact,in in_pos tact nn
in th,in in_pos th nn
in thruster,in in_pos thruster nn
in transit,in in_pos transit nn
in transition,in in_pos transition nn
in use,in in_pos use nn
in vibration,in in_pos vibration nn
in visual inspection,in in_pos visual jj inspection nn
in wc,in in_pos wc nn
in with pressure,in in_pos with in_pos pressure nn
in word,in in_pos word nn
in work,in in_pos work nn
in workshop,in in_pos workshop nn
inadequate,inadequate nn
included,included vbd
including,including vbg
incomer,incomer nn
incoming,incoming vbg
increased,increased vbn
index,index nn
indicated,indicated vbn
indication,indication nn
indicator,indicator nn
inet,inet nn
info,info nn
information,information nn
informed,informed vbn
infrared,infrared vbn
ing,ing vbg
ingress,ingress nn
ingress good,ingress rb good jj
initial,initial jj
injection,injection nn
inlet,inlet nn
inpeller,inpeller nn
insatalled,insatalled vbn
inside,inside in_pos
inside dust,inside rb dust nn
inside motor,inside in_pos motor nn
inside terminal box,inside in_pos terminal jj box nn
insp,insp nn
inspacted,inspacted vbn
inspceted,inspceted vbn
inspecion,inspecion nn
inspecon,inspecon nn
inspect,inspect nn
inspected,inspected vbn
inspecting,inspecting vbg
inspection,inspection nn
inspections,inspections nns
inspeted,inspeted vbn
install,install nn
installation,installation nn
installed,installed vbn
installing,installing vbg
instead of terminal forty,instead rb of in_pos terminal jj forty nn
insulate,insulate nn
insulation,insulation nn
insured,insured jj
intack,intack nn
intact,intact jj
intake,intake nn
integrity,integrity nn
intended,intended vbn
intergrity,intergrity nn
interior,interior nn
interiors,interiors nns
interlock,interlock nn
interlocks,interlocks nns
intermittent,intermittent nn
internal,internal jj
internally calculated,internally rb calculated vbn
intio,intio nn
into mud pump,into in_pos mud jj pump nn
into nov,into in_pos nov jj
into position,into in_pos position nn
into service,into in_pos service nn
inventory,inventory nn
inverter,inverter nn
investigated,investigated vbn
investigating,investigating vbg
investigation,investigation nn
investigations,investigations nns
involved,involved vbn
ip,ip nn
ir,ir nn
ir gun,ir nn gun nn
irratic,irratic jj
is about deg,is vbz about in_pos deg nn
is active,is vbz active jj
is amps,is vbz amps nns
is applicable,is vbz applicable jj
is at nov,is vbz at in_pos nov nn
is attached,is vbz attached vbn
is available,is vbz available jj
is based,is vbz based vbn
is being,is vbz being vbg
is blown,is vbz blown vbn
is bolted,is vbz bolted vbn
is broken,is vbz broken vbn
is changed,is vbz changed vbn
is checked,is vbz checked vbn
is clean,is vbz clean jj
is cleanliness,is vbz cleanliness nn
is closed,is vbz closed vbn
is coming,is vbz coming vbg
is completed,is vbz completed vbn
is connected,is vbz connected vbn
is correct,is vbz correct jj
is created,is vbz created vbn
is damaged,is vbz damaged vbn
is dead,is vbz dead jj
is degrees,is vbz degrees nns
is dirtered,is vbz dirtered vbn
is dispensed,is vbz dispensed vbn
is drawing,is vbz drawing vbg
is due,is vbz due jj
is electrical,is vbz electrical jj
is electrician,is vbz electrician jj
is equiped,is vbz equiped vbn
is faulty,is vbz faulty nn
is finewe,is vbz finewe jj
is fitted,is vbz fitted vbn
is following,is vbz following vbg
is found,is vbz found vbn
is free,is vbz free jj
is galvanised,is vbz galvanised vbn
is geberated,is vbz geberated vbn
is giving,is vbz giving vbg
is going,is vbz going vbg
is good,is vbz good jj
is having,is vbz having vbg
is high,is vbz high jj
is in operation,is vbz in in_pos operation nn
is in place,is vbz in in_pos place nn
is in progress,is vbz in in_pos progress nn
is in service,is vbz in in_pos service nn
is in tact,is vbz in in_pos tact nn
is installed,is vbz installed vbn
is intact,is vbz intact jj
is intactthis,is vbz intactthis jj
is knick,is vbz knick jj
is laid,is vbz laid vbn
is ledgible,is vbz ledgible jj
is legible,is vbz legible jj
is little,is vbz little jj
is located,is vbz located vbn
is lost,is vbz lost vbn
is made,is vbz made vbn
is maiming,is vbz maiming vbg
is making,is vbz making vbg
is march,is vbz march nn
is meg,is vbz meg nn
is mud,is vbz mud nn
is na,is vbz na jj
is off note,is vbz off in_pos note nn
is offered,is vbz offered vbn
is ohm,is vbz ohm jj
is ohms,is vbz ohms jj
is ok,is vbz ok jj
is on board,is vbz on in_pos board nn
is on motor,is vbz on in_pos motor nn
is online,is vbz online jj
is open,is vbz open jj
is opened,is vbz opened vbn
is operatin,is vbz operatin jj
is operating,is vbz operating vbg
is operational,is vbz operational jj
is pending,is vbz pending vbg
is performed,is vbz performed vbn
is prescient,is vbz prescient jj
is present,is vbz present jj
is properly,is vbz properly rb
is put,is vbz put vbn
is q,is vbz q jj
is readable,is vbz readable jj
is ready,is vbz ready jj
is recommended,is vbz recommended vbn
is reconnected,is vbz reconnected vbn
is reinstalled,is vbz reinstalled vbn
is relevant,is vbz relevant jj
is remaining,is vbz remaining vbg
is removed,is vbz removed vbn
is required,is vbz required vbn
is rubbing,is vbz rubbing vbg
is running,is vbz running vbg
is safe,is vbz safe jj
is same,is vbz same jj
is satisfactory,is vbz satisfactory jj
is sealed,is vbz sealed vbn
is secure,is vbz secure nn
is secured,is vbz secured vbn
is securena,is vbz securena jj
is set,is vbz set vbn
is short,is vbz short jj
is stopped,is vbz stopped vbn
is supplied,is vbz supplied vbn
is terminated,is vbz terminated vbn
is thrown,is vbz thrown vbn
is tight,is vbz tight jj
is troubleshoot,is vbz troubleshoot nn
is unable,is vbz unable jj
is used,is vbz used vbn
is verified,is vbz verified vbn
is working,is vbz working vbg
isnlt,isnlt nn
isnt,isnt nn
isolate,isolate nn
isolated,isolated jj
isolation,isolation nn
isolations,isolations nns
issue,issue nn
issued,issued vbn
issues,issues nns
item,item nn
items,items nns
itit,itit nn
itthe,itthe nn
j,j nn
jack,jack nn
jacking,jacking nn
james,james nns
january,january nn
jb,jb nn
jbox,jbox nn
jboxes,jboxes nns
jboxs,jboxs nn
jbs,jbs nn
jn,jn nn
job,job nn
jobs,jobs nns
johnson,johnson nn
juncion,juncion nn
junction,junction nn
june,june nn
just internal,just rb internal jj
just on motor,just rb on in_pos motor nn
just on standby mode,just rb on in_pos standby jj mode nn
just performed,just rb performed vbn
just wire,just rb wire nn
kept,kept nn
khant,khant nn
kill,kill nn
kind,kind nn
kinks,kinks nns
kit,kit nn
knife,knife nn
knocking,knocking vbg
kv,kv nn
kw,kw nn
l,l nn
la,la nn
labeled,labeled vbn
labels,labels nns
lamp,lamp nn
lamps,lamps nns
lase,lase nn
last,last jj
late,late rb
laying,laying vbg
lbs,lbs nn
lbs deisolated,lbs nn deisolated vbd
leads,leads nns
leads at motor,leads nns at in_pos motor nn
leads checked,leads nns checked vbd
leads disconnected,leads nns disconnected vbd
leads measured,leads nns measured vbd
leads running,leads nns running vbg
leak,leak nn
leakage,leakage nn
leakagethe,leakagethe nn
leaking,leaking vbg
leaks,leaks nns
leaks found,leaks nns found vbd
leaks observed,leaks nns observed vbd
leakschecked,leakschecked vbn
learned,learned vbn
led,led vbn
left,left nn
legible,legible jj
lekas,lekas nn
lessna,lessna nn
lessons,lessons nns
level,level nn
levelizer,levelizer nn
levels,levels nns
lever,lever nn
library,library nn
lifetime,lifetime nn
lifiting,lifiting vbg
lift,lift nn
lifted,lifted vbn
lifting,lifting vbg
liftting,liftting vbg
light,light nn
lights,lights nns
like,like in_pos
like damage,like in_pos damage nn
like new condition,like in_pos new jj condition nn
limit,limit nn
limitation,limitation nn
limiting,limiting vbg
limits,limits nns
line,line nn
lines,lines nns
link,link nn
list,list nn
listed,listed vbn
listen,listen nn
listen for abnormal noise,listen nn for in_pos abnormal jj noise nn
listened,listened vbn
litte loose,litte nn loose nn
little,little jj
ll,ll nn
load,load nn
loads,loads nns
local,local jj
localized,localized vbn
located,located vbn
locations,locations nns
lock,lock nn
locking,locking vbg
logged,logged vbn
logic,logic nn
login,login nn
look,look nn
